School_Name,School_ID,AR_Type,FNSSTO5_1,BPSHE31_1_1,BPSHE31_2_1,BPSHE31_3_1,BPSHE31_4_1,BPSHE31_5_1,BPSHE31_6_1,BPSHE31_7_1,BPSHE31_8_1,BPSHE31_9_1,BPSHE31_10_1,BPSHE31_11_1,BPSHE31_12_1,BPSHE31_13_1,BPSHE31_1_9,BPSHE31_2_9,BPSHE31_3_9,BPSHE31_4_9,BPSHE31_5_9,BPSHE31_6_9,BPSHE31_7_9,BPSHE31_8_9,BPSHE31_9_9,BPSHE31_10_9,BPSHE31_11_9,BPSHE31_12_9,BPSHE31_13_9
McCormack Middle School,2190,"=""6-12""",1,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
Edwards Middle School,2010,"=""6-12""",1,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Quincy Upper School,1450,"=""6-12""",1,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Dearborn 6-12 STEM Academy,1260,"=""6-12""",1,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
O'Bryant School of Math & Science,1030,"=""6-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Boston Latin Academy,1020,"=""6-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Boston Latin School,1010,"=""6-12""",1,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0
UP Academy Boston,2450,"=""6-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
Irving Middle School,2140,"=""6-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
Timilty Middle School,2040,"=""6-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Green Academy,1470,"=""6-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
TechBoston Academy 6-12,1460,"=""6-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Middle,1292,"=""6-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
