School_Name,School_ID,AR_Type,PEPASTO3_2,CSPAP1_8,CSPAP1_9,CSPAP1_10
UP Academy Holland,4250,"=""K-5""",0,80.0,80.0,
Guild Elementary,4061,"=""K-5""",0,20.0,20.0,20.0
Mattapan EES,4691,"=""K-5""",,-999.0,-999.0,-999.0
Shaw Elementary,4670,"=""K-5""",,-999.0,-999.0,-999.0
Quincy Elementary,4650,"=""K-5""",,,,
Blackstone Innovation School,4640,"=""K-5""",,-999.0,-999.0,-999.0
Baldwin Early Learning Pilot Academy,4621,"=""K-5""",,-999.0,-999.0,-999.0
Tynan Elementary,4590,"=""K-5""",,-999.0,-999.0,-999.0
Philbrick Elementary,4561,"=""K-5""",,-999.0,-999.0,-999.0
Sumner Elementary,4560,"=""K-5""",,-999.0,-999.0,-999.0
O'Donnell Elementary,4543,"=""K-5""",,-999.0,,
Kennedy Patrick J. Elementary,4541,"=""K-5""",,-999.0,-999.0,-999.0
Clap Innovation School,4531,"=""K-5""",,-999.0,-999.0,-999.0
Russell Elementary,4530,"=""K-5""",,-999.0,-999.0,-999.0
Haynes Early Education Center,4460,"=""K-5""",,,,
East Boston Early Education Center,4450,"=""K-5""",,,,
Ellison/Parks Early Education School,4440,"=""K-5""",,,,
Kenny Elementary,4390,"=""K-5""",,,,
Mendell Elementary,4370,"=""K-5""",,,,
Adams Elementary,4361,"=""K-5""",,,,
Otis Elementary,4322,"=""K-5""",,-999.0,-999.0,-999.0
Manning Elementary,4311,"=""K-5""",,,,
Lee Academy,4291,"=""K-5""",,,,
Harvard/Kent Elementary,4280,"=""K-5""",,-999.0,-999.0,-999.0
Kennedy John F Elementary,4270,"=""K-5""",,,,
Higginson K-2,4241,"=""K-5""",,,,
Ellis Elementary,4240,"=""K-5""",,-999.0,-999.0,-999.0
West Zone Early Learning Center,4231,"=""K-5""",,,,
Channing Elementary,4201,"=""K-5""",,,,
Grew Elementary,4200,"=""K-5""",,-999.0,-999.0,-999.0
Winship Elementary,4173,"=""K-5""",,-999.0,-999.0,-999.0
Taylor Elementary,4151,"=""K-5""",,,,
Everett Elementary,4140,"=""K-5""",,,,
Dudley Street Neighborhood Charter,4123,"=""K-5""",,,,
Mason Elementary,4121,"=""K-5""",,,,
Hale Elementary,4113,"=""K-5""",,-999.0,,
Dever Elementary,4100,"=""K-5""",,,,
Holmes Elementary,4084,"=""K-5""",,-999.0,-999.0,-999.0
Mozart Elementary,4082,"=""K-5""",,-999.0,-999.0,-999.0
Bates Elementary,4081,"=""K-5""",,-999.0,-999.0,-999.0
Conley Elementary,4080,"=""K-5""",,-999.0,-999.0,-999.0
Chittick Elementary,4070,"=""K-5""",,-999.0,-999.0,-999.0
Bradley Elementary,4062,"=""K-5""",,-999.0,-999.0,-999.0
Winthrop Elementary,4052,"=""K-5""",,,,
Beethoven Elementary,4030,"=""K-5""",,-999.0,-999.0,-999.0
Perkins Elementary,4022,"=""K-5""",,,,
Henderson Inclusion School K-12,1140,"=""K-12""",1,180.0,180.0,180.0
Horace Mann School for the Deaf Hard of Hearing,4610,"=""K-12""",0,0.0,0.0,0.0
Boston Collaborative High School,1311,"=""Alt""",1,120.0,120.0,120.0
