School_Name,School_ID,AR_Type,FNSIMO3_2,P30_1,P30_2,P30_3,P30_5,P30_6,P30_7,P30_9,P30_10,P30_11,P30_12,P30_14,P30_16,P30_1,P30_2,P30_3,P30_5,P30_6,P30_7,P30_8,P30_9,P30_10,P30_11,P30_12,P30_14,P30_16
Haley Pilot School,4210,"=""K-8""",0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Hale Elementary,4113,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Guild Elementary,4061,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Grew Elementary,4200,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Sarah K-8 School,4130,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Egleston High School,1430,"=""Alt""",,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Pilot Academy,4160,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick Pilot Middle School,2360,"=""6-8""",0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
Fenway High School,1265,"=""9-12""",0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
Excel High School,1162,"=""9-12""",0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Everett Elementary,4140,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
English High School,1080,"=""9-12""",0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
Ellison/Parks Early Education School,4440,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis Elementary,4240,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
